document_id,document_type_code,document_type_label,parent_entity_type,parent_entity_id,linked_proposal_id,top_level_bucket,filename,extension,mime_type,file_size_bytes,sha256,storage_relative_path,source_system,is_content_duplicate,needs_review
DOC-b87954558a82,DOC-AMEND,Amendments,Award,AA4673,V19173,AA4673,V19173_2020-69012-31871_Submission_Sponsor Prior Approval Request_MOD1 DOCUMENT_20260313.pdf,.pdf,application/pdf,5354,b87954558a82fed4896450b22005b29cae276815438f0e204feb3da32e09b6bf,AA4673/Amendments/V19173_2020-69012-31871_Submission_Sponsor Prior Approval Request_MOD1 DOCUMENT_20260313.pdf,VERAS,N,duplicate_content
DOC-c3452524e83f,DOC-AMEND,Amendments,Award,AA4673,V19173,AA4673,V19173_2020-69012-31871_Submission_Sponsor Prior Approval Request_MOD1_20260313.pdf,.pdf,application/pdf,45170,c3452524e83fc18138c1d09115f723ae13b50efe404d52b743321287a4cb8e43,AA4673/Amendments/V19173_2020-69012-31871_Submission_Sponsor Prior Approval Request_MOD1_20260313.pdf,VERAS,N,
DOC-fe08dbcafab0,DOC-AMEND,Amendments,Award,AA4673,V19173,AA4673,V19173_2020-69012-31871_Submission_Sponsor Prior Approval Request_MOD2_20260313.pdf,.pdf,application/pdf,52519,fe08dbcafab0625a1536f1e0e7425275b5def8c66811d41f90c15aa49145232d,AA4673/Amendments/V19173_2020-69012-31871_Submission_Sponsor Prior Approval Request_MOD2_20260313.pdf,VERAS,N,duplicate_filename
DOC-5ba5a421697a,DOC-AWARD-INST,Award Instrument,Award,AA4673,V19173,AA4673,2019-08306_2009_V0 (V19173).pdf,.pdf,application/pdf,13783,5ba5a421697a8f4c656facfe2d72d2146cd66b93ea8b48a61bb6aa8da7a4acc0,AA4673/Award Instrument/2019-08306_2009_V0 (V19173).pdf,VERAS,N,duplicate_content
DOC-bfd864b29c08,DOC-AWARD-INST,Award Instrument,Award,AA4673,V19173,AA4673,2020-69012-31871 AMD 7 V19173 AA4673.pdf,.pdf,application/pdf,5354,bfd864b29c085bf04b299c76b3d17e16d2897ea31c679f3d0219d8dc22d3b410,AA4673/Award Instrument/2020-69012-31871 AMD 7 V19173 AA4673.pdf,VERAS,N,duplicate_content
DOC-3db475261947,DOC-AWARD-INST,Award Instrument,Award,AA4673,V19173,AA4673,2020-69012-31871 MOD (1) approved.pdf,.pdf,application/pdf,5798,3db4752619475d68af1889bce186546a28512dc9804de843265e4d983bceb80e,AA4673/Award Instrument/2020-69012-31871 MOD (1) approved.pdf,VERAS,N,duplicate_content
DOC-74248a635faf,DOC-AWARD-INST,Award Instrument,Award,AA4673,V19173,AA4673,2020-69012-31871 MOD unapproved.pdf,.pdf,application/pdf,5513,74248a635faff50e1771353b5e242c11f3d6657ec9f59f3de84bb08c38f31863,AA4673/Award Instrument/2020-69012-31871 MOD unapproved.pdf,VERAS,N,
DOC-74acefd77a09,DOC-AWARD-INST,Award Instrument,Award,AA4673,V19173,AA4673,2023-06012_2009_V0 V19173 AA4673.pdf,.pdf,application/pdf,13819,74acefd77a09d105d7fcdeb59ad7214b5ad88a6cec630cac1e5b2822d5f1986b,AA4673/Award Instrument/2023-06012_2009_V0 V19173 AA4673.pdf,VERAS,N,duplicate_content
DOC-328d9fb51c7d,DOC-AWARD-INST,Award Instrument,Award,AA4673,V19173,AA4673,2025-03663_2009_V0 V19173 AA4673 MOD6.pdf,.pdf,application/pdf,5888,328d9fb51c7d93557fc2e4528c82ceb0a6cd75cd193d3e09d1c91d2b494d9861,AA4673/Award Instrument/2025-03663_2009_V0 V19173 AA4673 MOD6.pdf,VERAS,N,duplicate_content
DOC-01bec66c00b7,DOC-AWARD-INST,Award Instrument,Award,AA4673,V19173,AA4673,AA4673 NIFA 2020-69012-31871 Mod 2  approved.pdf,.pdf,application/pdf,9410,01bec66c00b7e6f7d63afd219a8cba071c5a7cf8b42252044ef8d931a0e22e7d,AA4673/Award Instrument/AA4673 NIFA 2020-69012-31871 Mod 2  approved.pdf,VERAS,N,duplicate_content
