organization_id,organization_name,organization_type,source_value,source_system,parent_organization_id,needs_lookup
DEPT-539,,Department,539,Banner Grant Listing Report,UI-LEAD,Y
DEPT-542,,Department,542,Banner Grant Listing Report,UI-LEAD,Y
DEPT-548,,Department,548,Banner Grant Listing Report,UI-LEAD,Y
DEPT-550,,Department,550,Banner Grant Listing Report,UI-LEAD,Y
DEPT-562,,Department,562,Banner Grant Listing Report,UI-LEAD,Y
DEPT-564,,Department,564,Banner Grant Listing Report,UI-LEAD,Y
DEPT-572,,Department,572,Banner Grant Listing Report,UI-LEAD,Y
DEPT-576,,Department,576,Banner Grant Listing Report,UI-LEAD,Y
DEPT-580,,Department,580,Banner Grant Listing Report,UI-LEAD,Y
DEPT-582,,Department,582,Banner Grant Listing Report,UI-LEAD,Y
DEPT-585,,Department,585,Banner Grant Listing Report,UI-LEAD,Y
DEPT-594,,Department,594,Banner Grant Listing Report,UI-LEAD,Y
DEPT-612,,Department,612,Banner Grant Listing Report,UI-LEAD,Y
DEPT-623,,Department,623,Banner Grant Listing Report,UI-LEAD,Y
DEPT-632,,Department,632,Banner Grant Listing Report,UI-LEAD,Y
DEPT-633,,Department,633,Banner Grant Listing Report,UI-LEAD,Y
DEPT-639,,Department,639,Banner Grant Listing Report,UI-LEAD,Y
DEPT-641,,Department,641,Banner Grant Listing Report,UI-LEAD,Y
DEPT-651,,Department,651,Banner Grant Listing Report,UI-LEAD,Y
DEPT-661,,Department,661,Banner Grant Listing Report,UI-LEAD,Y
DEPT-677,,Department,677,Banner Grant Listing Report,UI-LEAD,Y
DEPT-687,,Department,687,Banner Grant Listing Report,UI-LEAD,Y
DEPT-691,,Department,691,Banner Grant Listing Report,UI-LEAD,Y
DEPT-695,,Department,695,Banner Grant Listing Report,UI-LEAD,Y
DEPT-704,,Department,704,Banner Grant Listing Report,UI-LEAD,Y
DEPT-708,,Department,708,Banner Grant Listing Report,UI-LEAD,Y
DEPT-713,,Department,713,Banner Grant Listing Report,UI-LEAD,Y
DEPT-724,,Department,724,Banner Grant Listing Report,UI-LEAD,Y
DEPT-726,,Department,726,Banner Grant Listing Report,UI-LEAD,Y
DEPT-738,,Department,738,Banner Grant Listing Report,UI-LEAD,Y
DEPT-741,,Department,741,Banner Grant Listing Report,UI-LEAD,Y
DEPT-742,,Department,742,Banner Grant Listing Report,UI-LEAD,Y
DEPT-743,,Department,743,Banner Grant Listing Report,UI-LEAD,Y
DEPT-746,,Department,746,Banner Grant Listing Report,UI-LEAD,Y
DEPT-750,,Department,750,Banner Grant Listing Report,UI-LEAD,Y
DEPT-752,,Department,752,Banner Grant Listing Report,UI-LEAD,Y
DEPT-755,,Department,755,Banner Grant Listing Report,UI-LEAD,Y
DEPT-761,,Department,761,Banner Grant Listing Report,UI-LEAD,Y
DEPT-762,,Department,762,Banner Grant Listing Report,UI-LEAD,Y
DEPT-764,,Department,764,Banner Grant Listing Report,UI-LEAD,Y
DEPT-765,,Department,765,Banner Grant Listing Report,UI-LEAD,Y
DEPT-768,,Department,768,Banner Grant Listing Report,UI-LEAD,Y
DEPT-771,,Department,771,Banner Grant Listing Report,UI-LEAD,Y
DEPT-772,,Department,772,Banner Grant Listing Report,UI-LEAD,Y
DEPT-774,,Department,774,Banner Grant Listing Report,UI-LEAD,Y
DEPT-780,,Department,780,Banner Grant Listing Report,UI-LEAD,Y
DEPT-783,,Department,783,Banner Grant Listing Report,UI-LEAD,Y
DEPT-785,,Department,785,Banner Grant Listing Report,UI-LEAD,Y
DEPT-786,,Department,786,Banner Grant Listing Report,UI-LEAD,Y
DEPT-787,,Department,787,Banner Grant Listing Report,UI-LEAD,Y
DEPT-788,,Department,788,Banner Grant Listing Report,UI-LEAD,Y
DEPT-790,,Department,790,Banner Grant Listing Report,UI-LEAD,Y
DEPT-792,,Department,792,Banner Grant Listing Report,UI-LEAD,Y
DEPT-793,,Department,793,Banner Grant Listing Report,UI-LEAD,Y
DEPT-797,,Department,797,Banner Grant Listing Report,UI-LEAD,Y
DEPT-798,,Department,798,Banner Grant Listing Report,UI-LEAD,Y
DEPT-799,,Department,799,Banner Grant Listing Report,UI-LEAD,Y
DEPT-800,,Department,800,Banner Grant Listing Report,UI-LEAD,Y
DEPT-801,,Department,801,Banner Grant Listing Report,UI-LEAD,Y
DEPT-804,,Department,804,Banner Grant Listing Report,UI-LEAD,Y
DEPT-806,,Department,806,Banner Grant Listing Report,UI-LEAD,Y
DEPT-807,,Department,807,Banner Grant Listing Report,UI-LEAD,Y
DEPT-809,,Department,809,Banner Grant Listing Report,UI-LEAD,Y
DEPT-811,,Department,811,Banner Grant Listing Report,UI-LEAD,Y
DEPT-816,,Department,816,Banner Grant Listing Report,UI-LEAD,Y
DEPT-817,,Department,817,Banner Grant Listing Report,UI-LEAD,Y
DEPT-818,,Department,818,Banner Grant Listing Report,UI-LEAD,Y
DEPT-819,,Department,819,Banner Grant Listing Report,UI-LEAD,Y
DEPT-820,,Department,820,Banner Grant Listing Report,UI-LEAD,Y
DEPT-825,,Department,825,Banner Grant Listing Report,UI-LEAD,Y
DEPT-826,,Department,826,Banner Grant Listing Report,UI-LEAD,Y
DEPT-827,,Department,827,Banner Grant Listing Report,UI-LEAD,Y
DEPT-828,,Department,828,Banner Grant Listing Report,UI-LEAD,Y
DEPT-829,,Department,829,Banner Grant Listing Report,UI-LEAD,Y
DEPT-830,,Department,830,Banner Grant Listing Report,UI-LEAD,Y
DEPT-831,,Department,831,Banner Grant Listing Report,UI-LEAD,Y
DEPT-832,,Department,832,Banner Grant Listing Report,UI-LEAD,Y
DEPT-834,,Department,834,Banner Grant Listing Report,UI-LEAD,Y
DEPT-840,,Department,840,Banner Grant Listing Report,UI-LEAD,Y
DEPT-843,,Department,843,Banner Grant Listing Report,UI-LEAD,Y
DEPT-846,,Department,846,Banner Grant Listing Report,UI-LEAD,Y
DEPT-848,,Department,848,Banner Grant Listing Report,UI-LEAD,Y
DEPT-849,,Department,849,Banner Grant Listing Report,UI-LEAD,Y
DEPT-850,,Department,850,Banner Grant Listing Report,UI-LEAD,Y
DEPT-851,,Department,851,Banner Grant Listing Report,UI-LEAD,Y
DEPT-852,,Department,852,Banner Grant Listing Report,UI-LEAD,Y
DEPT-854,,Department,854,Banner Grant Listing Report,UI-LEAD,Y
DEPT-855,,Department,855,Banner Grant Listing Report,UI-LEAD,Y
DEPT-858,,Department,858,Banner Grant Listing Report,UI-LEAD,Y
DEPT-861,,Department,861,Banner Grant Listing Report,UI-LEAD,Y
DEPT-865,,Department,865,Banner Grant Listing Report,UI-LEAD,Y
DEPT-870,,Department,870,Banner Grant Listing Report,UI-LEAD,Y
DEPT-873,,Department,873,Banner Grant Listing Report,UI-LEAD,Y
DEPT-875,,Department,875,Banner Grant Listing Report,UI-LEAD,Y
DEPT-877,,Department,877,Banner Grant Listing Report,UI-LEAD,Y
DEPT-878,,Department,878,Banner Grant Listing Report,UI-LEAD,Y
DEPT-879,,Department,879,Banner Grant Listing Report,UI-LEAD,Y
DEPT-880,,Department,880,Banner Grant Listing Report,UI-LEAD,Y
DEPT-881,,Department,881,Banner Grant Listing Report,UI-LEAD,Y
DEPT-884,,Department,884,Banner Grant Listing Report,UI-LEAD,Y
DEPT-886,,Department,886,Banner Grant Listing Report,UI-LEAD,Y
DEPT-887,,Department,887,Banner Grant Listing Report,UI-LEAD,Y
