project_role_id,project_id,personnel_id,role_code,key_personnel,funding_award_id,source_system
PROJECT-08900D:V00007110:PI,PROJECT-08900D,V00007110,PI,Y,,Banner Grant Listing Report
PROJECT-10099-R:V00902382:PI,PROJECT-10099-R,V00902382,PI,Y,,Banner Grant Listing Report
PROJECT-10197-R:V00423919:PI,PROJECT-10197-R,V00423919,PI,Y,,Banner Grant Listing Report
PROJECT-16080:V00799434:PI,PROJECT-16080,V00799434,PI,Y,,Banner Grant Listing Report
PROJECT-16290:V00163802:PI,PROJECT-16290,V00163802,PI,Y,,Banner Grant Listing Report
PROJECT-16729:V01219761:PI,PROJECT-16729,V01219761,PI,Y,,Banner Grant Listing Report
PROJECT-16766:V00448273:PI,PROJECT-16766,V00448273,PI,Y,,Banner Grant Listing Report
PROJECT-17045-R:V00452781:PI,PROJECT-17045-R,V00452781,PI,Y,,Banner Grant Listing Report
PROJECT-17116-RR:V00137081:PI,PROJECT-17116-RR,V00137081,PI,Y,,Banner Grant Listing Report
PROJECT-17185-R:V00234269:PI,PROJECT-17185-R,V00234269,PI,Y,,Banner Grant Listing Report
PROJECT-17296:V00010406:PI,PROJECT-17296,V00010406,PI,Y,,Banner Grant Listing Report
PROJECT-17301:V00601235:PI,PROJECT-17301,V00601235,PI,Y,,Banner Grant Listing Report
PROJECT-17303:V00289967:PI,PROJECT-17303,V00289967,PI,Y,,Banner Grant Listing Report
PROJECT-17422-R:V00602773:PI,PROJECT-17422-R,V00602773,PI,Y,,Banner Grant Listing Report
PROJECT-17532:V00026363:PI,PROJECT-17532,V00026363,PI,Y,,Banner Grant Listing Report
PROJECT-17570:V00557173:PI,PROJECT-17570,V00557173,PI,Y,,Banner Grant Listing Report
PROJECT-17822:V00448273:PI,PROJECT-17822,V00448273,PI,Y,,Banner Grant Listing Report
PROJECT-18037:V00421247:PI,PROJECT-18037,V00421247,PI,Y,,Banner Grant Listing Report
PROJECT-18045B:V00426481:PI,PROJECT-18045B,V00426481,PI,Y,,Banner Grant Listing Report
PROJECT-18168:V00466694:PI,PROJECT-18168,V00466694,PI,Y,,Banner Grant Listing Report
PROJECT-18193:V00600881:PI,PROJECT-18193,V00600881,PI,Y,,Banner Grant Listing Report
PROJECT-18373:V00865990:PI,PROJECT-18373,V00865990,PI,Y,,Banner Grant Listing Report
PROJECT-18398:V00156099:PI,PROJECT-18398,V00156099,PI,Y,,Banner Grant Listing Report
PROJECT-18421:V00007379:PI,PROJECT-18421,V00007379,PI,Y,,Banner Grant Listing Report
PROJECT-18534:V00017256:PI,PROJECT-18534,V00017256,PI,Y,,Banner Grant Listing Report
PROJECT-18571:V00080032:PI,PROJECT-18571,V00080032,PI,Y,,Banner Grant Listing Report
PROJECT-18628-PR:V00754163:PI,PROJECT-18628-PR,V00754163,PI,Y,,Banner Grant Listing Report
PROJECT-18645:V00543721:PI,PROJECT-18645,V00543721,PI,Y,,Banner Grant Listing Report
PROJECT-18667:V00983683:PI,PROJECT-18667,V00983683,PI,Y,,Banner Grant Listing Report
PROJECT-18686:V00006950:PI,PROJECT-18686,V00006950,PI,Y,,Banner Grant Listing Report
PROJECT-18691:V00848443:PI,PROJECT-18691,V00848443,PI,Y,,Banner Grant Listing Report
PROJECT-18701:V00878843:PI,PROJECT-18701,V00878843,PI,Y,,Banner Grant Listing Report
PROJECT-18780B:V00602850:PI,PROJECT-18780B,V00602850,PI,Y,,Banner Grant Listing Report
PROJECT-19024:V00160407:PI,PROJECT-19024,V00160407,PI,Y,,Banner Grant Listing Report
PROJECT-19032:V00596441:PI,PROJECT-19032,V00596441,PI,Y,,Banner Grant Listing Report
PROJECT-19041:V00446405:PI,PROJECT-19041,V00446405,PI,Y,,Banner Grant Listing Report
PROJECT-19061:V00228283:PI,PROJECT-19061,V00228283,PI,Y,,Banner Grant Listing Report
PROJECT-19064:V00470066:PI,PROJECT-19064,V00470066,PI,Y,,Banner Grant Listing Report
PROJECT-19065:V00018482:PI,PROJECT-19065,V00018482,PI,Y,,Banner Grant Listing Report
PROJECT-19071:V00755054:PI,PROJECT-19071,V00755054,PI,Y,,Banner Grant Listing Report
PROJECT-19078:V00423919:PI,PROJECT-19078,V00423919,PI,Y,,Banner Grant Listing Report
PROJECT-19093:V00487150:PI,PROJECT-19093,V00487150,PI,Y,,Banner Grant Listing Report
PROJECT-19103:V00839342:PI,PROJECT-19103,V00839342,PI,Y,,Banner Grant Listing Report
PROJECT-19133:V00753261:PI,PROJECT-19133,V00753261,PI,Y,,Banner Grant Listing Report
PROJECT-19143:V00208013:PI,PROJECT-19143,V00208013,PI,Y,,Banner Grant Listing Report
PROJECT-19157:V00883247:PI,PROJECT-19157,V00883247,PI,Y,,Banner Grant Listing Report
PROJECT-19183:V00430930:PI,PROJECT-19183,V00430930,PI,Y,,Banner Grant Listing Report
PROJECT-19201:V00705424:PI,PROJECT-19201,V00705424,PI,Y,,Banner Grant Listing Report
PROJECT-19252:V00738713:PI,PROJECT-19252,V00738713,PI,Y,,Banner Grant Listing Report
PROJECT-19310:V00602850:PI,PROJECT-19310,V00602850,PI,Y,,Banner Grant Listing Report
PROJECT-19315:V00016538:PI,PROJECT-19315,V00016538,PI,Y,,Banner Grant Listing Report
PROJECT-19317:V00061551:PI,PROJECT-19317,V00061551,PI,Y,,Banner Grant Listing Report
PROJECT-19350:V00605746:PI,PROJECT-19350,V00605746,PI,Y,,Banner Grant Listing Report
PROJECT-19393:V00605746:PI,PROJECT-19393,V00605746,PI,Y,,Banner Grant Listing Report
PROJECT-19395:V00692138:PI,PROJECT-19395,V00692138,PI,Y,,Banner Grant Listing Report
PROJECT-19403:V00465312:PI,PROJECT-19403,V00465312,PI,Y,,Banner Grant Listing Report
PROJECT-19412:V00467992:PI,PROJECT-19412,V00467992,PI,Y,,Banner Grant Listing Report
PROJECT-19427:V00202874:PI,PROJECT-19427,V00202874,PI,Y,,Banner Grant Listing Report
PROJECT-19486:V00908462:PI,PROJECT-19486,V00908462,PI,Y,,Banner Grant Listing Report
PROJECT-19553:V00421926:PI,PROJECT-19553,V00421926,PI,Y,,Banner Grant Listing Report
PROJECT-19572:V00705424:PI,PROJECT-19572,V00705424,PI,Y,,Banner Grant Listing Report
PROJECT-19622:V00464574:PI,PROJECT-19622,V00464574,PI,Y,,Banner Grant Listing Report
PROJECT-19636:V00006950:PI,PROJECT-19636,V00006950,PI,Y,,Banner Grant Listing Report
PROJECT-19642:V00467992:PI,PROJECT-19642,V00467992,PI,Y,,Banner Grant Listing Report
PROJECT-AQK327:V00007457:PI,PROJECT-AQK327,V00007457,PI,Y,,Banner Grant Listing Report
PROJECT-BKK618:V00754163:PI,PROJECT-BKK618,V00754163,PI,Y,,Banner Grant Listing Report
PROJECT-BRK758:V00341357:PI,PROJECT-BRK758,V00341357,PI,Y,,Banner Grant Listing Report
PROJECT-BSK944:V00385426:PI,PROJECT-BSK944,V00385426,PI,Y,,Banner Grant Listing Report
